trade_date,open,high,low,close,volume,entry_confirm_ma
2021-01-04,81.04688790503322,83.54630785744301,80.33393528631304,81.13703155517578,33882680,
2021-01-05,80.3667119978417,83.53811402836327,79.48986528040203,83.21031951904297,35114801,
2021-01-06,84.40675441729931,85.88182641283437,81.6614874415375,82.7350082397461,36020338,
2021-01-07,83.58728163478375,86.59478330681094,82.93169261129388,85.89822387695312,45140052,
2021-01-08,85.22624165041998,85.7998773145108,82.9726631452406,84.41495513916016,33069048,
2021-01-11,84.57065203773448,85.49667192699093,81.94830866143255,82.76779174804688,34189187,
2021-01-12,82.20234034365856,85.45568895747297,82.20234034365856,85.30818176269531,35529586,
2021-01-13,86.04572395086593,86.62755619113166,83.62005476879592,84.68537902832031,34348739,
2021-01-14,84.89845418781346,85.54584663494735,81.44843083194323,81.62052154541016,37381528,
2021-01-15,81.15342061656241,82.08763096808376,79.30958340927127,81.69428253173828,35743823,
2021-01-18,81.448430553217,82.17777006348302,79.90780446733737,81.2271728515625,28677180,
2021-01-19,81.69427555402409,82.03845696946915,77.4247691800696,77.72797393798828,42307807,
2021-01-20,78.67037940627651,80.40768586894274,78.26063784686883,78.89983367919922,32202327,
2021-01-21,79.68653598056262,82.76779422920515,79.48166520276757,82.03025817871094,40930171,
2021-01-22,81.94831538462064,83.2021236096597,80.38309955973745,82.41542053222656,30775582,
2021-01-25,82.76779611577199,84.30023181938618,80.88298241623194,83.57089233398438,37735992,
2021-01-26,82.76779392253384,82.76779392253384,79.57180855034063,80.26017761230469,40767026,
2021-01-27,79.56360801448528,81.81718644988219,78.98177578687833,80.26836395263672,28326851,
2021-01-28,79.10470540186745,79.48166689075687,77.44115565118756,77.98201751708984,31057214,
2021-01-29,78.13771494148246,80.13725577288444,76.76917961934228,78.94081115722656,37246508,
2021-02-01,78.94081420742309,80.72728774413933,77.57227883240402,80.4732437133789,28606271,
2021-02-02,79.81765477748289,82.11220369431575,79.81765477748289,80.7846450805664,31544355,
2021-02-03,81.53856704279697,82.27610307050045,78.83427035860412,80.01432800292969,32395536,
2021-02-04,78.90802530772855,79.97334954401934,78.0393752570029,78.9981689453125,36486402,
2021-02-05,79.47348258487227,80.61256371977007,77.85090311633897,79.69474029541016,37262393,
2021-02-08,79.70293130539109,79.899605506803,77.35920904368538,79.21124267578125,37743563,
2021-02-09,79.97334906661538,83.50532531738281,79.39971342374157,83.50532531738281,53712247,
2021-02-10,84.34120488546493,88.5041808170055,83.17754030487092,87.77484130859375,53679907,
2021-02-18,87.78304002877528,87.97971424033166,79.48986804019566,80.5551986694336,94042908,
2021-02-19,77.85909871414634,80.57978262276909,77.85909871414634,80.30115509033203,69387709,
2021-02-22,79.7193130897724,79.7193130897724,74.06487858253726,74.11405181884766,90398609,
2021-02-23,72.97497350262175,75.39244617812145,72.79468621793717,74.52379608154297,60475531,
2021-02-24,78.75232227444802,80.80102996240015,76.31026621161851,77.86727905273438,100354633,
