trade_date,open,high,low,close,volume,entry_confirm_ma
2021-01-04,11.802514814533744,12.04338222941271,11.630466661048766,11.871334075927734,40722498,
2021-01-05,11.871333171772047,12.00036907196045,11.699285031390763,12.00036907196045,39109319,
2021-01-06,12.008972855435143,12.09499734421176,11.888538735225952,11.931550979614258,39479589,
2021-01-07,11.862732030952346,11.97456354116785,11.587454972200554,11.811117172241213,35954662,
2021-01-08,11.94015311227873,12.550924660931564,11.83692422213336,12.249839782714844,69127560,
2021-01-11,12.129406172439817,12.559526947059808,12.086393930899764,12.353068351745604,61553829,
2021-01-12,12.301455207987669,12.550925242496096,12.138008842391262,12.533720016479492,61627453,
2021-01-13,12.456297173702405,13.187502814867232,12.413285752778812,13.058466911315918,114799650,
2021-01-14,13.032660156607411,14.280011156345894,12.920829468450629,13.479986190795898,212721908,
2021-01-15,13.393961825888017,13.729456354656994,12.938033994784284,13.118684768676758,110761854,
2021-01-18,13.127287200673004,13.720853552191937,12.90362418457994,13.660636901855469,91982738,
2021-01-19,13.643431828123289,13.643431828123289,12.94663657379625,12.989648818969728,77193137,
2021-01-20,13.204708146981424,13.204708146981424,12.938032904978051,13.024057388305664,48921111,
2021-01-21,13.0326594237542,13.290732058167116,12.972442776534292,13.067069053649902,58676237,
2021-01-22,12.981045616290212,12.981045616290212,12.421888095211232,12.688563346862791,74596081,
2021-01-25,12.636948736974691,13.08427476254776,12.47350319402473,13.075672149658203,63012616,
2021-01-26,12.92082922687607,12.98104587635624,12.66275658277626,12.748780250549316,39408979,
2021-01-27,12.860610688723083,13.058466666907572,12.688562547078044,12.783188819885254,36120121,
2021-01-28,12.568128692298314,12.602538321324287,12.155213143986629,12.224032402038574,47284438,
2021-01-29,12.387477721150796,12.525117055270908,12.06058666123751,12.292851448059082,43492671,
2021-02-01,12.086394133398285,12.189623022589773,11.81111627516403,11.957357406616213,40225419,
2021-02-02,11.983164817081352,11.983164817081352,11.67347734015504,11.785308837890623,43659094,
2021-02-03,11.759502532966982,11.768105145710935,11.40680361436786,11.415406227111816,44436983,
2021-02-04,11.35518859994596,11.639068253415338,11.320778969840289,11.63046646118164,42590750,
2021-02-05,11.621863132164584,11.630465744258297,11.337983496194072,11.36379051208496,29235345,
2021-02-08,11.312175555730857,11.561645561419216,11.28636854007764,11.398200035095217,21804002,
2021-02-09,11.44121275888095,11.742296808615285,11.398200517378823,11.716489791870115,27180465,
2021-02-10,11.621863426547066,12.172417488246236,11.621863426547066,12.077791213989258,43802084,
2021-02-18,12.146610685819809,12.39608070452242,11.888538054653932,12.00897216796875,34461939,
2021-02-19,11.948755356484869,12.24123679268383,11.871333486165334,12.206827163696287,29124183,
2021-02-22,12.258442679908065,12.29285231075535,12.00037003835825,12.01757526397705,39794492,
2021-02-23,11.89714156565532,12.043382707014583,11.819719688419202,11.86273193359375,28901878,
2021-02-24,11.879937465981753,12.094997877006554,11.750900727132656,12.086395263671877,32232833,
2021-02-25,12.086395109384986,12.241238045480774,11.91434694683947,11.974563598632812,32639579,
2021-02-26,11.845525638015276,12.069187800538996,11.768103773130436,11.879935264587402,25927746,
2021-03-01,11.931549190539071,12.017573666416752,11.88853695260023,11.914344787597656,25289074,
2021-03-02,11.957359256642969,11.97456448436533,11.647672541154186,11.682082176208496,29380270,
2021-03-03,11.664875964102135,12.000369648876902,11.656273351571942,11.957357406616213,27597582,
2021-03-04,11.871334988352563,11.905744621694264,11.707888614686697,11.725093841552734,24997710,
2021-03-05,11.613261066783558,11.879936311511052,11.613261066783558,11.82832145690918,25616604,
2021-03-08,11.83692369084176,12.06058668631293,11.77670622566706,11.785308837890623,33497792,
2021-03-09,11.768104853293623,12.155213392859276,11.656273351571942,11.957357406616213,47548810,
2021-03-10,12.026177579488635,12.06918982501619,11.690683869232476,11.811117172241213,30371119,
2021-03-11,11.759503364562988,11.811117403896096,11.664877078858712,11.759503364562988,27261000,
2021-03-12,11.77670712807845,11.785309740961209,11.570249341234211,11.639068603515623,24925268,
2021-03-15,11.596055452580035,11.62186328920991,11.398200294092549,11.458416938781738,24328784,
2021-03-16,11.510031971841933,11.596055634117452,11.432610101520778,11.587453842163086,17115783,
2021-03-17,11.570248407082063,11.690682516546156,11.484224746370788,11.656272888183594,15606826,
2021-03-18,11.673477883521011,11.73369535149866,11.56164638058,11.63046646118164,13481361,
2021-03-19,11.63046740315514,11.742298094763235,11.570249930300363,11.613262176513672,18676239,
2021-03-22,11.596055423256423,11.690682516546156,11.535838778719503,11.656272888183594,18219128,
2021-03-23,11.664876119911362,11.7939120280267,11.64767089462116,11.742297172546388,18523876,
2021-03-24,11.750898793500708,11.974561781056034,11.725091778133626,11.92294692993164,29265838,
2021-03-25,11.95735762129224,12.077791737706328,11.871333955616718,11.888538360595703,24916606,
2021-03-26,11.871333440852068,12.129406067468686,11.871333440852068,12.077791213989258,38647565,
2021-03-29,12.103598699737688,12.129406537672992,11.72509276764648,11.742297172546388,36934804,
2021-03-30,11.81971868966365,12.421887610053584,11.793911672895728,12.353068351745604,68435063,
2021-03-31,12.301454799476156,12.5165151951999,12.249839943530723,12.361671447753906,36773008,
2021-04-01,12.43909274199534,12.482104983214402,12.29285161408469,12.404683113098145,24187377,
2021-04-02,12.361671980462129,12.39608161244515,12.120804556580993,12.172418594360352,26755602,
2021-04-06,12.327260906944176,12.3444661311189,12.09499612331714,12.18101978302002,17398098,
2021-04-07,12.206827236134442,12.404683219279626,12.129406185745742,12.37027359008789,29192500,
2021-04-08,12.335863947363746,12.404683205671724,12.172417593589598,12.353068351745604,20004935,
2021-04-09,12.292850644106608,12.301453255749676,12.000368411363873,12.094995498657228,22328052,
2021-04-12,12.086392887014158,12.198224377203452,12.00897102300694,12.094995498657228,18028053,
2021-04-13,12.09499670357472,12.602538535224676,12.06058707396472,12.464900016784668,39321667,
2021-04-14,12.550924987514136,12.611141636568236,12.387478625238272,12.473503112792969,25284207,
2021-04-15,12.507912106854834,12.507912106854834,12.267044702512685,12.37027359008789,17286651,
2021-04-16,12.292853493269432,12.464901664056084,12.181021977160508,12.387479782104492,20806978,
2021-04-19,12.344466216405827,12.67995988622836,12.310056588208894,12.654152870178224,39046248,
