timestamp,code,side,price,qty,reason,pnl,holding_days,return_pct
2016-07-07,603000.SH,buy,17.9579,1800,signal,0.0,0,0.0
2016-07-28,603000.SH,sell,18.5514,1800,signal,1068.282,21,3.3
2016-10-18,603000.SH,buy,19.2893,1700,signal,0.0,0,0.0
2016-11-01,603000.SH,sell,18.4016,1700,signal,-1509.073,14,-4.6
2017-04-06,603000.SH,buy,15.9259,2000,signal,0.0,0,0.0
2017-04-17,603000.SH,sell,15.005,2000,signal,-1841.86,11,-5.78
2017-07-06,603000.SH,buy,12.5525,2500,signal,0.0,0,0.0
2017-09-14,603000.SH,sell,13.2867,2500,signal,1835.4,70,5.85
2018-01-31,603000.SH,buy,10.8008,3000,signal,0.0,0,0.0
2018-02-02,603000.SH,sell,9.4605,3000,signal,-4020.78,2,-12.41
2018-04-17,603000.SH,buy,10.8508,2900,signal,0.0,0,0.0
2018-04-23,603000.SH,sell,9.8901,2900,signal,-2786.146,6,-8.85
2018-07-27,603000.SH,buy,7.4074,4100,signal,0.0,0,0.0
2018-08-03,603000.SH,sell,6.7432,4100,signal,-2723.015,7,-8.97
2018-11-14,603000.SH,buy,6.8168,4300,signal,0.0,0,0.0
2018-11-26,603000.SH,sell,6.7033,4300,signal,-488.136,12,-1.67
2019-01-10,603000.SH,buy,7.037,4100,signal,0.0,0,0.0
2019-03-15,603000.SH,sell,27.5324,4100,signal,84031.181,64,291.25
2019-08-29,603000.SH,buy,17.2572,3300,signal,0.0,0,0.0
2019-09-19,603000.SH,sell,23.8361,3300,signal,21710.37,21,38.12
2019-12-12,603000.SH,buy,19.7597,3200,signal,0.0,0,0.0
2019-12-24,603000.SH,sell,18.6713,3200,signal,-3482.976,12,-5.51
2020-01-06,603000.SH,buy,21.6616,2900,signal,0.0,0,0.0
2020-01-17,603000.SH,sell,23.3267,2900,signal,4828.529,11,7.69
2020-04-21,603000.SH,buy,20.04,3200,signal,0.0,0,0.0
2020-05-22,603000.SH,sell,20.0599,3200,signal,63.68,31,0.1
2020-07-02,603000.SH,buy,19.8098,3200,signal,0.0,0,0.0
2020-07-17,603000.SH,sell,19.6703,3200,signal,-446.336,15,-0.7
2020-12-01,603000.SH,buy,16.9369,3800,signal,0.0,0,0.0
2020-12-10,603000.SH,sell,15.954,3800,signal,-3734.982,9,-5.8
2021-02-22,603000.SH,buy,18.8889,3300,signal,0.0,0,0.0
2021-03-05,603000.SH,sell,16.8032,3300,signal,-6882.777,11,-11.04
2021-04-20,603000.SH,buy,16.5265,3600,signal,0.0,0,0.0
2021-05-06,603000.SH,sell,15.964,3600,signal,-2024.964,16,-3.4
2021-05-13,603000.SH,buy,17.6777,3400,signal,0.0,0,0.0
2021-06-03,603000.SH,sell,16.6533,3400,signal,-3482.722,21,-5.79
2021-11-12,603000.SH,buy,13.2432,4400,signal,0.0,0,0.0
2021-11-30,603000.SH,sell,12.3776,4400,signal,-3808.728,18,-6.54
2021-12-16,603000.SH,buy,13.8839,4100,signal,0.0,0,0.0
2022-01-17,603000.SH,sell,13.1668,4100,signal,-2939.905,32,-5.16
2022-02-22,603000.SH,buy,13.5836,4100,signal,0.0,0,0.0
2022-02-25,603000.SH,sell,13.017,4100,signal,-2323.06,3,-4.17
2022-05-24,603000.SH,buy,9.6396,5800,signal,0.0,0,0.0
2022-07-18,603000.SH,sell,9.7602,5800,signal,699.48,55,1.25
2022-08-12,603000.SH,buy,10.7207,5200,signal,0.0,0,0.0
2022-09-27,603000.SH,sell,10.6893,5200,signal,-163.332,46,-0.29
2022-11-17,603000.SH,buy,10.4304,5300,signal,0.0,0,0.0
2022-12-09,603000.SH,sell,13.3067,5300,signal,15244.178,22,27.58
2022-12-27,603000.SH,buy,17.6576,3400,signal,0.0,0,0.0
2022-12-30,603000.SH,sell,15.1848,3400,signal,-8407.656,3,-14.0
2023-02-16,603000.SH,buy,19.3593,3000,signal,0.0,0,0.0
2023-02-23,603000.SH,sell,17.2228,3000,signal,-6409.74,7,-11.04
2023-04-04,603000.SH,buy,20.7007,2700,signal,0.0,0,0.0
2023-04-18,603000.SH,sell,22.5175,2700,signal,4905.306,14,8.78
2023-06-08,603000.SH,buy,24.9749,2300,signal,0.0,0,0.0
2023-06-27,603000.SH,sell,31.2088,2300,signal,14337.763,19,24.96
2023-08-23,603000.SH,buy,36.8368,1700,signal,0.0,0,0.0
2023-09-06,603000.SH,sell,36.0439,1700,signal,-1347.896,14,-2.15
2023-11-29,603000.SH,buy,34.5345,1800,signal,0.0,0,0.0
2023-12-18,603000.SH,sell,32.5574,1800,signal,-3558.762,19,-5.72
2024-02-21,603000.SH,buy,23.8338,2500,signal,0.0,0,0.0
2024-03-27,603000.SH,sell,26.973,2500,signal,7847.975,35,13.17
2024-09-24,603000.SH,buy,18.3383,3400,signal,0.0,0,0.0
2024-10-10,603000.SH,sell,24.1458,3400,signal,19745.534,16,31.67
