timestamp,code,side,price,qty,reason,pnl,holding_days,return_pct
2016-08-29,603000.SH,buy,18.8889,5200,signal,0.0,0,0.0
2016-09-21,603000.SH,sell,17.7023,5200,signal,-6170.268,23,-6.28
2016-11-04,603000.SH,buy,18.058,5100,signal,0.0,0,0.0
2016-11-16,603000.SH,sell,18.3816,5100,signal,1650.156,12,1.79
2017-04-11,603000.SH,buy,15.5155,6100,signal,0.0,0,0.0
2017-04-24,603000.SH,sell,14.6154,6100,signal,-5490.793,13,-5.8
2017-07-28,603000.SH,buy,12.8228,6900,signal,0.0,0,0.0
2017-10-20,603000.SH,sell,12.8072,6900,signal,-107.847,84,-0.12
2018-03-20,603000.SH,buy,10.1702,8700,signal,0.0,0,0.0
2018-05-17,603000.SH,sell,9.6304,8700,signal,-4696.26,58,-5.31
2018-11-22,603000.SH,buy,7.1972,11700,signal,0.0,0,0.0
2019-05-15,603000.SH,sell,18.8312,11700,signal,136117.332,174,161.65
2019-09-06,603000.SH,buy,21.5615,10200,signal,0.0,0,0.0
2019-11-14,603000.SH,sell,18.6713,10200,signal,-29480.346,69,-13.4
2020-01-02,603000.SH,buy,19.1992,9900,signal,0.0,0,0.0
2020-03-16,603000.SH,sell,18.8911,9900,signal,-3050.091,74,-1.6
2020-05-07,603000.SH,buy,23.3733,8000,signal,0.0,0,0.0
2020-06-12,603000.SH,sell,17.9121,8000,signal,-43690.24,36,-23.37
2020-07-14,603000.SH,buy,22.7627,6300,signal,0.0,0,0.0
2020-08-12,603000.SH,sell,19.5504,6300,signal,-20237.553,29,-14.11
2020-08-18,603000.SH,buy,20.3003,6000,signal,0.0,0,0.0
2020-08-20,603000.SH,sell,19.8401,6000,signal,-2760.84,2,-2.27
2020-08-24,603000.SH,buy,20.3203,5900,signal,0.0,0,0.0
2020-09-02,603000.SH,sell,19.3706,5900,signal,-5603.171,9,-4.67
2021-01-20,603000.SH,buy,16.977,6700,signal,0.0,0,0.0
2021-03-26,603000.SH,sell,16.2537,6700,signal,-4845.641,65,-4.26
2021-05-14,603000.SH,buy,17.4875,6200,signal,0.0,0,0.0
2021-06-28,603000.SH,sell,16.4535,6200,signal,-6410.428,45,-5.91
2021-09-29,603000.SH,buy,12.5826,8200,signal,0.0,0,0.0
2021-10-28,603000.SH,sell,12.2677,8200,signal,-2581.77,29,-2.5
2021-12-22,603000.SH,buy,13.3033,7500,signal,0.0,0,0.0
2022-02-10,603000.SH,sell,12.6174,7500,signal,-5144.4,50,-5.16
2022-06-16,603000.SH,buy,10.3403,9200,signal,0.0,0,0.0
2022-10-17,603000.SH,sell,10.5095,9200,signal,1556.18,123,1.64
2022-12-05,603000.SH,buy,13.9139,6900,signal,0.0,0,0.0
2023-05-29,603000.SH,sell,17.7023,6900,signal,26139.822,175,27.23
2023-06-14,603000.SH,buy,28.2782,4300,signal,0.0,0,0.0
2023-11-02,603000.SH,sell,32.4775,4300,signal,18056.732,141,14.85
2024-03-14,603000.SH,buy,27.9279,5000,signal,0.0,0,0.0
2024-04-24,603000.SH,sell,24.0659,5000,signal,-19309.95,41,-13.83
2024-10-09,603000.SH,buy,24.3743,4900,signal,0.0,0,0.0
2025-01-07,603000.SH,sell,20.3596,4900,signal,-19672.177,90,-16.47
2025-02-26,603000.SH,buy,24.3443,4100,signal,0.0,0,0.0
2025-03-26,603000.SH,sell,21.3486,4100,signal,-12282.329,28,-12.31
2025-07-21,603000.SH,buy,20.4805,4300,signal,0.0,0,0.0
2025-09-24,603000.SH,sell,19.2807,4300,signal,-5158.968,65,-5.86
2025-11-28,603000.SH,buy,20.7707,4000,signal,0.0,0,0.0
2025-12-17,603000.SH,sell,18.4016,4000,signal,-9476.68,19,-11.41
2026-01-15,603000.SH,buy,29.4694,2500,signal,0.0,0,0.0
2026-03-19,603000.SH,sell,20.2297,2500,signal,-23099.225,63,-31.35
