date,equity
2022-01-05,1.0
2022-01-06,1.0
2022-01-07,1.0
2022-01-10,1.0
2022-01-11,1.0
2022-01-12,1.0
2022-01-14,1.0
2022-01-17,1.0
2022-01-18,1.0
2022-01-19,1.0
2022-01-20,1.0
2022-01-21,1.0
2022-01-24,1.0
2022-01-25,1.0
2022-01-26,1.0
2022-01-27,1.0
2022-01-28,1.0
2022-02-07,1.0
2022-02-08,1.0
2022-02-09,1.0
2022-02-10,1.0
2022-02-11,1.0
2022-02-14,1.0
2022-02-15,1.0
2022-02-16,1.0
2022-02-17,1.0
2022-02-18,1.0
2022-02-21,1.0
2022-02-22,1.0
2022-02-23,1.0
2022-02-24,1.0
2022-02-25,1.0
2022-02-28,1.0
2022-03-01,1.0
2022-03-02,1.0
2022-03-03,1.0
2022-03-04,1.0
2022-03-07,1.0
2022-03-08,1.0
2022-03-09,1.0
2022-03-10,1.0
2022-03-11,1.0
2022-03-14,1.0
2022-03-15,1.0
2022-03-16,1.0
2022-03-17,1.0
2022-03-18,1.0
2022-03-21,1.0
2022-03-22,1.0
2022-03-23,1.0
2022-03-24,1.0
2022-03-25,1.0
2022-03-28,1.0
2022-03-30,1.0
2022-03-31,1.0
2022-04-01,1.0
2022-04-06,1.0
2022-04-07,1.0
2022-04-08,1.0
2022-04-11,1.0
2022-04-12,1.0
2022-04-13,1.0
2022-04-14,1.0
2022-04-15,1.0
2022-04-18,1.0
2022-04-19,1.0
2022-04-20,1.0
2022-04-21,1.0
2022-04-22,1.0
2022-04-25,1.0
2022-04-26,1.0
2022-04-27,1.0
2022-04-28,1.0
2022-04-29,1.0
2022-05-05,1.0
2022-05-06,1.0
2022-05-09,1.0
2022-05-10,1.0
2022-05-11,1.0
2022-05-12,1.0
2022-05-13,1.0
2022-05-16,1.0
2022-05-17,1.0
2022-05-18,1.0
2022-05-19,1.0
2022-05-20,1.0
2022-05-23,1.0
2022-05-24,1.0
2022-05-25,1.0
2022-05-26,1.0
2022-05-27,1.0
2022-05-30,1.0
2022-05-31,1.0
2022-06-01,1.0
2022-06-02,1.0
2022-06-06,1.0
2022-06-07,1.0
2022-06-08,1.0
2022-06-09,1.0
2022-06-10,1.0
2022-06-13,1.0
2022-06-14,1.0
2022-06-15,1.0
2022-06-16,1.0
2022-06-17,1.0
2022-06-20,1.0
2022-06-21,1.0
2022-06-22,1.0
2022-06-23,1.0
2022-06-24,1.0
2022-06-27,1.0
2022-06-28,1.0
2022-06-29,1.0
2022-06-30,1.0
2022-07-01,1.0
2022-07-04,1.0
2022-07-05,1.0
2022-07-06,1.0
2022-07-07,1.0
2022-07-08,1.0
2022-07-11,1.0
2022-07-12,0.9820784006032655
2022-07-13,1.0087993873674166
2022-07-14,1.029954122972476
2022-07-15,1.0058189965492876
2022-07-18,1.0257850757651261
2022-07-19,1.0063161410193182
2022-07-20,1.0070369186138841
2022-07-21,0.9893332093214072
2022-07-22,0.994031319355558
2022-07-25,0.9839266330636881
2022-07-26,0.990217032670781
2022-07-27,0.9901887462371993
2022-07-28,0.9862857761713031
2022-07-29,0.9753883620907917
2022-08-01,1.0050868591067643
2022-08-02,0.9883615301912305
2022-08-03,0.9666368095540253
2022-08-04,0.971085837027421
2022-08-05,0.9890013800480654
2022-08-08,0.984880240794094
2022-08-09,0.9960388865107866
2022-08-10,0.9823471805300726
2022-08-11,0.9974668761440033
2022-08-12,0.9779984470670827
2022-08-15,0.9879557860485536
2022-08-16,0.994509154167113
2022-08-17,1.00455120865901
2022-08-18,1.001814501354432
2022-08-19,0.9801451170293801
2022-08-22,0.9936812474987881
2022-08-23,0.994525298233061
2022-08-24,0.9491440569662033
2022-08-25,0.9376259563651186
2022-08-26,0.9281698517588277
2022-08-29,0.9224144508745227
2022-08-30,0.9201947923157131
2022-08-31,0.9124949208792222
2022-09-01,0.9031712835367316
2022-09-02,0.9039518784296647
2022-09-05,0.9103454784276007
2022-09-06,0.9049989849453656
2022-09-07,0.9063603403309571
2022-09-08,0.9113595165288588
2022-09-09,0.9184762394039315
2022-09-13,0.9138143837773686
2022-09-14,0.8973078579195072
2022-09-15,0.9015065374706699
2022-09-16,0.8843915173922059
2022-09-19,0.8870547123606619
2022-09-20,0.8892276804192035
2022-09-21,0.8905148010803149
2022-09-22,0.8914424100534101
2022-09-23,0.9047745794786055
2022-09-26,0.8909102319318818
2022-09-27,0.9011421443816392
2022-09-28,0.8967690239759003
2022-09-29,0.8979518855586466
2022-09-30,0.9014652955581506
2022-10-10,0.9130278442362224
2022-10-11,0.9126551615429928
2022-10-12,0.9154503201367421
2022-10-13,0.9138368824682817
2022-10-14,0.9080998109125697
2022-10-17,0.9080459886714889
2022-10-18,0.9060618815254244
2022-10-19,0.9084819370380134
2022-10-20,0.9021865709452856
2022-10-21,0.8985807825844143
2022-10-24,0.8946532264780948
2022-10-25,0.8909514605286113
2022-10-27,0.897491789946246
2022-10-28,0.890478224762668
2022-10-31,0.8984687685748292
2022-11-01,0.9066232090572788
2022-11-02,0.9032145377084172
2022-11-03,0.8926103220220315
2022-11-04,0.892411981260698
2022-11-07,0.8900045028064202
2022-11-08,0.8942946720402096
2022-11-09,0.9003077148940193
2022-11-10,0.8975259552261418
2022-11-11,0.9017109484310458
2022-11-14,0.8911350161400178
2022-11-15,0.8935269887433731
2022-11-16,0.8946670251596145
2022-11-17,0.893210914901095
2022-11-18,0.8987153554463098
2022-11-21,0.8972168943099313
2022-11-22,0.9129728321547915
2022-11-23,0.9069948788030219
2022-11-24,0.9062075290831794
2022-11-25,0.9225610706710897
2022-11-28,0.9239239979411296
2022-11-29,0.9187456839715077
2022-11-30,0.9285617745211193
2022-12-01,0.932484832862326
2022-12-02,0.9264465302406795
2022-12-05,0.941143276243853
2022-12-06,0.9312158102287645
2022-12-07,0.9169504114277509
2022-12-08,0.9119871366155049
2022-12-09,0.9185109187450514
2022-12-12,0.9191090888458642
2022-12-13,0.9215029581726656
2022-12-14,0.9211293178982763
2022-12-15,0.9128775261927212
2022-12-16,0.9100508240722418
2022-12-19,0.9014986668857141
2022-12-20,0.8977566825527517
2022-12-21,0.9008510300215836
2022-12-22,0.9080371300483916
2022-12-23,0.9027664274897386
2022-12-26,0.9066655994538162
2022-12-27,0.914290150856217
2022-12-28,0.9114879500964542
2022-12-29,0.9008617067916374
2022-12-30,0.8997518981992764
2023-01-03,0.9153850252260873
2023-01-04,0.9359151576178576
2023-01-05,0.9459064583984336
2023-01-06,0.9390220476721368
2023-01-09,0.9459669517826078
2023-01-10,0.9403123322328815
2023-01-11,0.9449053608002367
2023-01-12,0.9434153439503413
2023-01-13,0.9533500499001833
2023-01-16,0.9547897098905722
2023-01-17,0.9559127977692579
2023-01-18,0.9590757281908475
2023-01-19,0.9589600046998644
2023-01-20,0.96091033611648
2023-01-30,0.9567102263467714
2023-01-31,0.9456218194261973
2023-02-01,0.9587436270852085
2023-02-02,0.9458705989625117
2023-02-03,0.9320571787788516
2023-02-06,0.9114464005421409
2023-02-07,0.9138878445535583
2023-02-08,0.9089755313106396
2023-02-09,0.9213736131115629
2023-02-10,0.9128834700947607
2023-02-13,0.9241952363970809
2023-02-14,0.9158362498440956
2023-02-15,0.9101219518159716
2023-02-16,0.9152341239255553
2023-02-17,0.8907509244340027
2023-02-20,0.9118766395177125
2023-02-21,0.9030484107447933
2023-02-22,0.890631105452551
2023-02-23,0.8906695418349064
2023-02-24,0.8846112521049871
2023-02-27,0.8810329952588773
2023-02-28,0.8884389167434613
2023-03-01,0.923320945260933
2023-03-02,0.9322227755102878
2023-03-03,0.9651349798898561
2023-03-06,0.9602736973397948
2023-03-07,0.9340823595803686
2023-03-08,0.9351641288557858
2023-03-09,0.9548516893936675
2023-03-10,0.9333868626510893
2023-03-13,0.9804328651375496
2023-03-14,0.977781127092339
2023-03-15,0.9874600832595621
2023-03-16,0.9912618656123807
2023-03-17,1.0240602070674707
2023-03-20,1.031376976464952
2023-03-21,1.0224956672540095
2023-03-22,1.0470172082340998
2023-03-23,1.0669344937513883
2023-03-24,1.0701344087072633
2023-03-27,1.0559994080760067
2023-03-28,1.0277247805988778
2023-03-29,1.0379741807762441
2023-03-30,1.0463960321115253
2023-03-31,1.0664989876525695
2023-04-03,1.100756502082574
2023-04-04,1.1132139406432282
2023-04-06,1.1453380681062253
2023-04-07,1.1408177108139321
2023-04-10,1.110007864107889
2023-04-11,1.099546030582725
2023-04-12,1.1295354886662154
2023-04-13,1.0944747205163534
2023-04-14,1.132145209953169
2023-04-17,1.1411412487913573
2023-04-18,1.1599442475108177
2023-04-19,1.1216815581868527
2023-04-20,1.1681718061172397
2023-04-21,1.1329796347570136
2023-04-24,1.1159935449242828
2023-04-25,1.1154367550387125
2023-04-26,1.066994999964424
2023-04-27,1.0639815970714357
2023-04-28,1.0784234902812533
2023-05-04,1.079982955952497
2023-05-05,1.0624589813015834
2023-05-08,1.086983746455503
2023-05-09,1.0739390291594393
2023-05-10,1.0635232737281366
2023-05-11,1.0547715536577797
2023-05-12,1.0365816130259577
2023-05-15,1.0523052277871012
2023-05-16,1.0350418938724568
2023-05-17,1.038679180260857
2023-05-18,1.0607875729877132
2023-05-19,1.0525950167781475
2023-05-22,1.0483943168565149
2023-05-23,1.0315979034830483
2023-05-24,1.0127568310012296
2023-05-25,1.046364207395218
2023-05-26,1.0598947011111457
2023-05-29,1.092787156462807
2023-05-30,1.09970844405306
2023-05-31,1.0958795501241994
2023-06-01,1.1009659623645616
2023-06-02,1.105878983369648
2023-06-05,1.1243674102989982
2023-06-06,1.1155083407692523
2023-06-07,1.107726395221502
2023-06-08,1.0962373278903317
2023-06-09,1.1321108547901164
2023-06-12,1.1625481624272513
2023-06-13,1.1830687380617428
2023-06-14,1.193004019642962
2023-06-15,1.1964130047182429
2023-06-16,1.2218836856284363
2023-06-19,1.2431816682716827
2023-06-20,1.2426881753521237
2023-06-21,1.2296228241216727
2023-06-26,1.207644081683633
2023-06-27,1.2088662532597376
2023-06-28,1.2155305196925945
2023-06-29,1.227461252805659
2023-06-30,1.246085708180371
2023-07-03,1.2456011725865497
2023-07-04,1.2445421422967207
2023-07-05,1.2358256320882912
2023-07-06,1.2318317104607936
2023-07-07,1.2223007723618668
2023-07-10,1.2131089728623696
2023-07-11,1.221961117159972
2023-07-12,1.204432884935134
2023-07-13,1.2446195440661831
2023-07-14,1.2755405921510299
2023-07-17,1.263641911289177
2023-07-18,1.258712415900486
2023-07-19,1.2717270871555013
2023-07-20,1.2385023154432395
2023-07-21,1.2274193450719186
2023-07-24,1.2370057310587002
2023-07-25,1.2382233048017346
2023-07-26,1.2313074568515063
2023-07-27,1.2279056020508818
2023-07-28,1.2151153335415559
2023-07-31,1.2213912125417146
2023-08-01,1.2262660659812332
2023-08-02,1.2174453725692906
2023-08-03,1.223928175306233
2023-08-04,1.2478679354124458
2023-08-07,1.2587368158781027
2023-08-08,1.2490340092313945
2023-08-09,1.2229056805484466
2023-08-10,1.2146315289242886
2023-08-11,1.201838378334558
