code,name,last_date,last_close,ann_return,max_drawdown,sharpe,mom60,above_ma120
511010,国债ETF,2026-06-04,141.504,0.0300616536161602,-0.015572435097222392,1.796314564721742,0.004243964061147132,True
518880,黄金ETF,2026-06-04,9.29,0.19064454659153296,-0.24890793010752676,1.1185291525781045,-0.1455899935620344,False
601138,工业富联,2026-06-04,78.55,0.37699868343515885,-0.5348495964783571,0.8938817973741715,0.4457942205043255,True
600941,中国移动,2026-06-04,100.16,0.13841827108262805,-0.22139534883720913,0.6387634796382631,0.04758916431335636,True
600900,长江电力,2026-06-04,27.72,0.07712852580487439,-0.20239520958083757,0.504194365189996,0.021370670596904784,True
159915,创业板ETF,2026-06-04,4.1,0.05934122066361036,-0.5658465991316933,0.3391239828497388,0.27131782945736416,True
510500,中证500ETF,2026-06-04,8.448,0.03244334096975887,-0.4731445881393431,0.2560778028137231,0.0032062700391879417,True
588000,科创50ETF,2026-06-04,1.832,0.04062912701802168,-0.5964071856287432,0.2796050539482933,0.22870556673373565,True
513500,标普500ETF,2026-06-04,2.566,0.02197540348789362,-0.597169485674836,0.26228091195174696,0.0919148936170211,True
515030,新能源车ETF,2026-06-04,1.884,0.02307290979013077,-0.670386904761904,0.23325597714196583,0.034596375617792496,False
300750,宁德时代,2026-06-04,408.2,0.02133565869073073,-0.7954215116279069,0.2930968948285566,0.15060461707585193,True
159920,恒生ETF,2026-06-04,1.485,-0.006779960842979271,-0.4595611285266452,0.08051061850606447,-0.0319426336375489,False
512760,芯片ETF,2026-06-04,1.18,-0.026191387215046102,-0.6222980659840729,0.17185716067956824,-0.32300631095811827,False
510300,沪深300ETF,2026-06-04,4.926,-0.01900022451879202,-0.45100740485620816,-0.016442452119030688,0.055496035997428805,True
000333,美的集团,2026-06-04,82.42,-0.026882315402522283,-0.6248716272990373,0.047262963649137374,0.0771040250914794,True
512890,红利低波ETF,2026-06-04,1.158,-0.027639598359610495,-0.5826283135927806,0.09009945243468843,-0.025252525252525304,False
513100,纳指ETF,2026-06-04,2.24,-0.11659271844529129,-0.8549926578560939,0.1482973949302083,0.24375347029428118,True
512000,券商ETF,2026-06-04,0.488,-0.15686680270974973,-0.6327769347496208,-0.2903540744605922,-0.09629629629629632,False
