date,open,high,low,close,volume
2022-01-05,63.0,63.58,57.75,57.88,255365409.0
2022-01-06,57.88,59.33,57.58,58.0,116157682.0
2022-01-07,57.8,58.06,57.59,57.62,63881165.0
2022-01-10,57.7,59.49,57.68,58.8,75326858.0
2022-01-11,58.6,59.12,57.93,58.09,34700578.0
2022-01-12,58.29,58.29,57.8,58.11,25617132.0
2022-01-13,58.01,58.01,57.78,57.81,24645018.0
2022-01-14,57.71,57.8,57.61,57.65,24019049.0
2022-01-17,57.65,57.72,57.59,57.6,26815585.0
2022-01-18,57.6,57.73,57.59,57.62,20774021.0
2022-01-19,57.6,57.62,57.58,57.58,37308915.0
2022-01-20,57.59,57.71,57.58,57.63,23180332.0
2022-01-21,57.61,57.62,57.58,57.58,19184425.0
2022-01-24,57.68,58.73,57.64,58.19,29709778.0
2022-01-25,57.9,58.03,57.59,57.59,18436817.0
2022-01-26,57.59,58.0,57.58,57.63,18821205.0
2022-01-27,57.6,57.66,57.58,57.58,33978377.0
2022-01-28,57.59,57.61,57.58,57.58,29008049.0
2022-02-07,57.7,58.41,57.7,58.15,24754931.0
2022-02-08,58.22,62.5,58.22,61.3,39345289.0
2022-02-09,60.8,67.43,60.7,67.43,51244290.0
2022-02-10,68.0,68.4,64.46,66.0,42181436.0
2022-02-11,65.51,67.47,64.9,66.61,27567357.0
2022-02-14,66.48,67.61,63.8,64.01,22758754.0
2022-02-15,63.93,64.65,62.5,62.9,15999425.0
2022-02-16,63.28,64.35,62.76,63.5,15860582.0
2022-02-17,63.6,64.57,61.44,61.88,18282727.0
2022-02-18,61.47,63.05,61.3,62.8,12345353.0
2022-02-21,62.98,64.1,62.68,63.53,14266367.0
2022-02-22,62.8,63.73,61.49,62.3,13392042.0
2022-02-23,62.1,63.79,62.1,63.09,9221475.0
2022-02-24,62.8,63.0,60.94,61.72,9444993.0
2022-02-25,62.2,62.34,60.94,61.06,9555678.0
2022-02-28,60.98,61.18,59.22,60.54,8002998.0
2022-03-01,60.54,60.65,59.9,60.37,7004310.0
2022-03-02,60.01,60.95,59.96,60.48,5147246.0
2022-03-03,60.39,62.95,60.23,62.05,13645859.0
2022-03-04,61.44,63.2,61.1,61.71,7769847.0
2022-03-07,61.5,61.93,60.68,61.48,8606539.0
2022-03-08,61.47,61.87,59.86,61.05,8105448.0
2022-03-09,60.9,61.4,58.7,60.24,8524172.0
2022-03-10,60.72,61.15,59.81,59.87,7170705.0
2022-03-11,59.28,60.35,58.55,60.1,8064343.0
2022-03-14,59.6,63.3,59.46,60.56,12222221.0
2022-03-15,60.49,60.49,59.0,59.13,10037219.0
2022-03-16,59.69,61.86,59.38,61.21,10366099.0
2022-03-17,61.91,62.2,60.42,61.03,7845907.0
2022-03-18,60.83,61.84,60.54,61.78,5397223.0
2022-03-21,61.58,63.84,61.33,62.71,7168380.0
2022-03-22,62.3,64.53,62.3,64.26,7983522.0
2022-03-23,64.08,65.46,63.6,64.55,7587236.0
2022-03-24,65.02,69.62,64.65,66.75,16528877.0
2022-03-25,66.75,68.0,65.2,66.0,8753122.0
2022-03-28,64.8,68.45,64.4,68.2,9825730.0
2022-03-29,68.2,69.18,67.45,68.0,7834188.0
2022-03-30,67.88,69.06,66.89,67.36,8149139.0
2022-03-31,67.0,67.55,65.96,66.86,6023685.0
2022-04-01,66.68,68.68,66.46,68.38,5782059.0
2022-04-06,67.98,68.26,65.88,67.38,7060501.0
2022-04-07,66.73,68.2,66.59,67.38,5363226.0
2022-04-08,67.1,69.68,66.78,69.56,10997508.0
2022-04-11,69.18,70.8,68.01,68.86,10513754.0
2022-04-12,68.62,69.4,67.75,68.95,6121275.0
2022-04-13,68.7,71.28,68.28,70.21,7342799.0
2022-04-14,70.21,70.99,64.88,67.65,20509546.0
2022-04-15,66.31,66.58,64.6,64.69,11801229.0
2022-04-18,64.6,66.27,64.4,65.63,6006490.0
2022-04-19,65.33,66.49,65.33,66.02,3334659.0
2022-04-20,66.0,66.7,65.8,66.03,6679602.0
2022-04-21,65.8,66.3,63.92,64.55,5595841.0
2022-04-22,64.0,66.31,63.17,65.8,5925242.0
2022-04-25,65.0,67.0,64.89,65.82,8866139.0
2022-04-26,65.49,65.82,63.88,64.08,6193213.0
2022-04-27,63.8,64.53,62.2,64.0,8408818.0
2022-04-28,63.99,65.0,63.7,64.77,4216271.0
2022-04-29,64.29,66.42,64.22,64.96,6107038.0
2022-05-05,64.96,65.29,64.24,64.56,3846098.0
2022-05-06,63.77,64.5,63.28,63.99,4188714.0
2022-05-09,63.83,64.9,63.62,64.64,3673789.0
2022-05-10,63.9,64.39,63.37,63.65,4219532.0
2022-05-11,63.46,63.6,62.0,62.49,9865138.0
2022-05-12,62.17,63.3,62.03,63.16,5523786.0
2022-05-13,63.01,64.68,63.01,64.38,5084914.0
2022-05-16,64.4,65.27,64.08,65.07,3604467.0
2022-05-17,64.95,65.8,64.76,65.08,3104868.0
2022-05-18,65.08,66.58,64.91,66.39,4295217.0
2022-05-19,65.75,66.44,64.48,64.75,5322458.0
2022-05-20,64.8,66.06,64.77,66.0,3972097.0
2022-05-23,65.88,66.66,65.41,66.49,3639918.0
2022-05-24,66.51,67.15,65.95,65.99,3186561.0
2022-05-25,65.99,67.75,65.88,67.36,4202738.0
2022-05-26,67.38,67.81,67.01,67.4,2402005.0
2022-05-27,67.3,67.32,66.8,66.99,2268551.0
2022-05-30,67.0,67.52,66.23,66.88,2627026.0
2022-05-31,66.77,67.2,65.9,66.26,4678089.0
2022-06-01,64.64,64.64,63.3,63.79,3796505.0
2022-06-02,63.63,64.16,63.31,63.74,3160183.0
2022-06-06,63.42,63.77,63.0,63.52,5256040.0
2022-06-07,63.52,64.5,63.08,64.26,5764133.0
2022-06-08,64.27,65.11,63.8,65.01,3795029.0
2022-06-09,64.82,66.2,64.7,65.73,5496809.0
2022-06-10,65.46,66.66,65.38,65.5,6748344.0
2022-06-13,65.47,65.86,64.21,64.43,3563958.0
2022-06-14,63.9,64.35,63.69,64.19,4509513.0
2022-06-15,64.27,64.48,63.6,63.66,5940677.0
2022-06-16,63.63,63.79,62.54,63.45,5646216.0
2022-06-17,62.95,63.43,62.6,62.8,6019731.0
2022-06-20,62.75,62.85,62.32,62.55,5397141.0
2022-06-21,62.61,63.48,62.5,63.19,5603808.0
2022-06-22,63.11,63.14,61.0,61.35,10324315.0
2022-06-23,61.06,61.6,60.72,60.96,6161437.0
2022-06-24,60.93,61.09,59.8,60.54,13605739.0
2022-06-27,60.44,60.6,59.82,60.32,11008864.0
2022-06-28,60.24,60.44,59.88,60.1,12502835.0
2022-06-29,60.0,61.29,59.89,61.0,11050291.0
2022-06-30,60.66,60.72,60.01,60.5,9054543.0
2022-07-01,60.43,60.88,60.2,60.84,6630988.0
2022-07-04,60.85,60.96,60.2,60.32,5350630.0
2022-07-05,59.8,59.8,57.59,58.42,42555252.0
2022-07-06,58.1,59.18,57.91,58.9,17580040.0
2022-07-07,58.75,59.2,58.22,58.92,9127399.0
2022-07-08,58.81,59.44,58.39,58.92,7755932.0
2022-07-11,58.93,59.76,58.57,59.58,6934544.0
2022-07-12,59.5,60.23,59.27,59.58,7315811.0
2022-07-13,59.57,61.6,59.5,60.7,9027694.0
2022-07-14,60.71,61.1,60.0,60.16,5324933.0
2022-07-15,60.28,60.28,58.68,58.79,7982286.0
2022-07-18,58.79,59.58,57.92,59.49,6635858.0
2022-07-19,59.32,59.6,59.2,59.48,3776772.0
2022-07-20,59.48,60.84,59.38,60.36,6592509.0
2022-07-21,60.31,60.85,59.72,60.45,5775311.0
2022-07-22,60.35,61.0,60.08,60.58,4343815.0
2022-07-25,60.43,60.67,59.83,60.54,3797669.0
2022-07-26,60.45,60.75,59.72,60.49,5817763.0
2022-07-27,60.35,60.55,59.36,59.37,5459808.0
2022-07-28,59.52,59.62,58.9,58.9,6446095.0
2022-07-29,58.8,59.06,58.2,58.2,4474286.0
2022-08-01,58.23,58.98,57.92,58.9,7562368.0
2022-08-02,58.47,58.88,57.62,58.81,8017047.0
2022-08-03,58.55,58.77,58.06,58.11,4167941.0
2022-08-04,58.3,60.48,58.05,60.45,11038226.0
2022-08-05,60.38,61.75,60.16,61.15,8838444.0
2022-08-08,60.9,61.69,59.35,59.9,7408341.0
2022-08-09,59.99,61.2,59.8,60.8,6227673.0
2022-08-10,60.57,61.3,60.25,60.76,3984923.0
2022-08-11,60.79,61.46,60.78,61.35,5474640.0
2022-08-12,62.03,63.88,61.97,63.17,15021133.0
2022-08-15,63.16,63.99,62.83,63.18,8084989.0
2022-08-16,63.0,63.5,62.1,62.16,4772651.0
2022-08-17,62.18,62.47,61.65,62.25,3771886.0
2022-08-18,62.0,63.12,61.79,62.7,4341554.0
2022-08-19,62.3,64.15,62.3,63.62,6465901.0
2022-08-22,63.62,65.7,63.3,65.2,9397839.0
2022-08-23,65.01,65.18,64.3,64.92,5282566.0
2022-08-24,64.88,65.3,63.6,64.21,5582933.0
2022-08-25,64.06,65.9,64.06,65.26,7002408.0
2022-08-26,65.0,65.55,64.63,65.17,4947388.0
2022-08-29,64.7,65.18,63.81,63.82,5485501.0
2022-08-30,64.15,64.34,62.93,64.1,5028378.0
2022-08-31,64.08,65.77,63.91,64.02,9841575.0
2022-09-01,64.12,65.08,64.03,64.46,4443707.0
2022-09-02,64.46,64.83,63.71,64.18,3613467.0
2022-09-05,64.18,66.2,63.99,65.1,8243615.0
2022-09-06,63.77,63.77,62.29,62.96,7477677.0
2022-09-07,62.79,63.76,62.5,63.67,4676328.0
2022-09-08,63.62,65.18,63.4,64.81,6565543.0
2022-09-09,64.75,66.09,64.75,65.37,5644748.0
2022-09-13,65.32,65.7,64.25,64.79,4800358.0
2022-09-14,64.22,64.63,63.56,64.04,4274263.0
